1101,     한송이,     78,     87,     83,     78
1102,     정다워,     88,     83,     57,     98
1103,     그리운,     76,     56,     87,     78
1104,     고아라,     83,     57,     88,     73
1105,     사랑해,     87,     87,     53,     55
1106,     튼튼이,     98,     97,     93,     88
1107,     한아름,     68,     67,     83,     89
1108,     더크게,     98,     67,     93,     78
1109,     더높이,     88,     99,     53,     88
1110,     아리랑,     68,     79,     63,     66
1111,     한산섬,     98,     89,     73,     78
1112,     하나로,     89,     97,     78,     88
